CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
116,CN,55328,B,15.0,0,,0.54974,0.97948,0.05877,Azul,503,,0.0,2019
117,CN,89515,C,21.0,0,,3.14647,1.67856,0.32644,Azul,503,,0.0,2019
118,CN,117868,E,25.0,0,,0.05808,8.96186,0.22071,Azul,503,,0.0,2019
119,CN,117890,B,6.0,0,,1.85268,0.99689,0.12401,Azul,503,,0.0,2019
120,CN,54381,A,18.0,0,,3.20714,2.14905,0.08067,Azul,503,,0.0,2019
121,CN,117979,B,6.0,0,,1.19339,2.04675,0.26041,Azul,503,,0.0,2019
123,CN,60311,E,10.0,0,,2.79351,0.15609,0.14102,Azul,503,,0.0,2019
124,CN,81478,B,8.0,0,,2.37739,1.59193,0.20921,Azul,503,,0.0,2019
125,CN,83526,C,16.0,0,,1.62997,1.70518,0.1628,Azul,503,,0.0,2019
126,CN,111601,B,5.0,0,,7.09582,2.42384,0.23686,Azul,503,,0.0,2019
127,CN,111545,E,9.0,0,,0.54124,3.79854,0.17374,Azul,503,,0.0,2019
128,CN,19407,E,17.0,0,,2.32962,1.67314,0.14993,Azul,503,,0.0,2019
129,CN,89772,C,7.0,0,,0.67587,1.59601,0.02169,Azul,503,,0.0,2019
130,CN,24104,E,3.0,0,,3.41094,1.15715,0.16829,Azul,503,,0.0,2019
131,CN,111705,B,2.0,0,,1.78669,1.78124,0.20473,Azul,503,,0.0,2019
132,CN,117875,D,1.0,0,,1.78539,1.58564,0.13602,Azul,503,,0.0,2019
133,CN,117642,A,2.0,0,,1.92967,1.07472,0.22014,Azul,503,,0.0,2019
134,CN,85548,D,24.0,0,,2.96175,0.58267,0.11175,Azul,503,,0.0,2019
135,CN,84568,C,1.0,0,,2.42831,1.66707,0.29842,Azul,503,,0.0,2019
136,MT,117635,E,6.0,0,,1.84162,0.88644,0.35048,Azul,515,,0.0,2019
137,MT,9779,E,21.0,0,,2.287,2.217,0.085,Azul,515,,0.0,2019
138,MT,111608,E,5.0,0,,2.47366,1.61606,0.04665,Azul,515,,0.0,2019
139,MT,111696,A,15.0,0,,2.05561,3.05197,0.11848,Azul,515,,0.0,2019
140,MT,63187,D,1.0,0,,1.86876,0.4293,0.12552,Azul,515,,0.0,2019
141,MT,117612,B,17.0,0,,1.94459,2.78766,0.16241,Azul,515,,0.0,2019
142,MT,63808,E,9.0,0,,2.89605,1.98685,0.08712,Azul,515,,0.0,2019
143,MT,54448,B,20.0,0,,3.06326,0.80679,0.08034,Azul,515,,0.0,2019
144,MT,86432,A,1.0,0,,1.12267,0.37213,0.26876,Azul,515,,0.0,2019
146,MT,117798,A,26.0,0,,2.72919,1.92868,0.23186,Azul,515,,0.0,2019
